Level,Total,Next level,Difference
0,0,"7,200,000",0
1,"7,200,000","8,640,000","1,440,000"
2,"15,840,000","10,080,000","1,440,000"
3,"25,920,000","11,520,000","1,440,000"
4,"37,440,000","12,960,000","1,440,000"
5,"50,400,000","14,400,000","1,440,000"
6,"64,800,000","15,840,000","1,440,000"
7,"80,640,000","17,280,000","1,440,000"
8,"97,920,000","18,720,000","1,440,000"
9,"116,640,000","20,160,000","1,440,000"
10,"136,800,000","21,600,000","1,440,000"
11,"158,400,000","23,040,000","1,440,000"
12,"181,440,000","24,480,000","1,440,000"
13,"205,920,000","25,920,000","1,440,000"
14,"231,840,000","27,360,000","1,440,000"
15,"259,200,000","28,800,000","1,440,000"
16,"288,000,000","30,240,000","1,440,000"
17,"318,240,000","31,680,000","1,440,000"
18,"349,920,000","33,120,000","1,440,000"
19,"383,040,000","34,560,000","1,440,000"
20,"417,600,000","36,000,000","1,440,000"
21,"453,600,000","37,440,000","1,440,000"
22,"491,040,000","38,880,000","1,440,000"
23,"529,920,000","40,320,000","1,440,000"
24,"570,240,000","41,760,000","1,440,000"
25,"612,000,000","43,200,000","1,440,000"
26,"655,200,000","44,640,000","1,440,000"
27,"699,840,000","46,080,000","1,440,000"
28,"745,920,000","47,520,000","1,440,000"
29,"793,440,000","48,960,000","1,440,000"
30,"842,400,000","50,400,000","1,440,000"
31,"892,800,000","51,840,000","1,440,000"
32,"944,640,000","53,280,000","1,440,000"
33,"997,920,000","54,720,000","1,440,000"
34,"1,052,640,000","56,160,000","1,440,000"
35,"1,108,800,000","57,600,000","1,440,000"
36,"1,166,400,000","59,040,000","1,440,000"
37,"1,225,440,000","60,480,000","1,440,000"
38,"1,285,920,000","61,920,000","1,440,000"
39,"1,347,840,000","63,360,000","1,440,000"
40,"1,411,200,000","64,800,000","1,440,000"
41,"1,476,000,000","66,240,000","1,440,000"
42,"1,542,240,000","67,680,000","1,440,000"
43,"1,609,920,000","69,120,000","1,440,000"
44,"1,679,040,000","70,560,000","1,440,000"
45,"1,749,600,000","72,000,000","1,440,000"
46,"1,821,600,000","73,440,000","1,440,000"
47,"1,895,040,000","74,880,000","1,440,000"
48,"1,969,920,000","76,320,000","1,440,000"
49,"2,046,240,000","77,760,000","1,440,000"
50,"2,124,000,000","79,200,000","1,440,000"
51,"2,203,200,000","80,640,000","1,440,000"
52,"2,283,840,000","82,080,000","1,440,000"
53,"2,365,920,000","83,520,000","1,440,000"
54,"2,449,440,000","84,960,000","1,440,000"
55,"2,534,400,000","86,400,000","1,440,000"
56,"2,620,800,000","87,840,000","1,440,000"
57,"2,708,640,000","89,280,000","1,440,000"
58,"2,797,920,000","90,720,000","1,440,000"
59,"2,888,640,000","92,160,000","1,440,000"
60,"2,980,800,000","95,040,000","2,880,000"
61,"3,075,840,000","97,920,000","2,880,000"
62,"3,173,760,000","100,800,000","2,880,000"
63,"3,274,560,000","103,680,000","2,880,000"
64,"3,378,240,000","106,560,000","2,880,000"
65,"3,484,800,000","109,440,000","2,880,000"
66,"3,594,240,000","112,320,000","2,880,000"
67,"3,706,560,000","115,200,000","2,880,000"
68,"3,821,760,000","118,080,000","2,880,000"
69,"3,939,840,000","120,960,000","2,880,000"
70,"4,060,800,000","126,000,000","5,040,000"
71,"4,186,800,000","131,040,000","5,040,000"
72,"4,317,840,000","136,080,000","5,040,000"
73,"4,453,920,000","139,740,000","3,660,000"
74,"4,593,660,000","140,760,000","1,020,000"
75,"4,734,420,000","141,780,000","1,020,000"
76,"4,876,200,000","142,800,000","1,020,000"
77,"5,019,000,000","143,820,000","1,020,000"
78,"5,162,820,000","144,840,000","1,020,000"
79,"5,307,660,000","145,860,000","1,020,000"
80,"5,453,520,000","146,880,000","1,020,000"
81,"5,600,400,000","147,900,000","1,020,000"
82,"5,748,300,000","148,920,000","1,020,000"
83,"5,897,220,000","149,940,000","1,020,000"
84,"6,047,160,000","150,960,000","1,020,000"
85,"6,198,120,000","151,980,000","1,020,000"
86,"6,350,100,000","153,000,000","1,020,000"
87,"6,503,100,000","154,020,000","1,020,000"
88,"6,657,120,000","155,040,000","1,020,000"
89,"6,812,160,000","156,060,000","1,020,000"
90,"6,968,220,000","157,080,000","1,020,000"
91,"7,125,300,000","158,100,000","1,020,000"
92,"7,283,400,000","159,120,000","1,020,000"
93,"7,442,520,000","160,140,000","1,020,000"
94,"7,602,660,000","161,160,000","1,020,000"
95,"7,763,820,000","162,180,000","1,020,000"
96,"7,926,000,000","163,200,000","1,020,000"
97,"8,089,200,000","164,220,000","1,020,000"
98,"8,253,420,000","165,240,000","1,020,000"
99,"8,418,660,000","166,260,000","1,020,000"
100,"8,584,920,000","167,280,000","1,020,000"
101,"8,752,200,000","168,300,000","1,020,000"
102,"8,920,500,000","169,320,000","1,020,000"
103,"9,089,820,000","170,340,000","1,020,000"
104,"9,260,160,000","171,360,000","1,020,000"
105,"9,431,520,000","172,380,000","1,020,000"
106,"9,603,900,000","173,400,000","1,020,000"
107,"9,777,300,000","174,420,000","1,020,000"
108,"9,951,720,000","175,440,000","1,020,000"
109,"10,127,160,000","176,460,000","1,020,000"
110,"10,303,620,000","177,480,000","1,020,000"
111,"10,481,100,000","178,500,000","1,020,000"
112,"10,659,600,000","179,520,000","1,020,000"
113,"10,839,120,000","180,540,000","1,020,000"
114,"11,019,660,000","181,560,000","1,020,000"
115,"11,201,220,000","182,580,000","1,020,000"
116,"11,383,800,000","183,600,000","1,020,000"
117,"11,567,400,000","184,620,000","1,020,000"
118,"11,752,020,000","185,640,000","1,020,000"
119,"11,937,660,000","186,660,000","1,020,000"
120,"12,124,320,000","187,680,000","1,020,000"
121,"12,312,000,000","188,700,000","1,020,000"
122,"12,500,700,000","189,720,000","1,020,000"
123,"12,690,420,000","190,740,000","1,020,000"
124,"12,881,160,000","191,760,000","1,020,000"
125,"13,072,920,000","192,780,000","1,020,000"
126,"13,265,700,000","193,800,000","1,020,000"
127,"13,459,500,000","194,820,000","1,020,000"
128,"13,654,320,000","195,840,000","1,020,000"
129,"13,850,160,000","196,860,000","1,020,000"
130,"14,047,020,000","197,880,000","1,020,000"
131,"14,244,900,000","198,900,000","1,020,000"
132,"14,443,800,000","199,920,000","1,020,000"
133,"14,643,720,000","200,940,000","1,020,000"
134,"14,844,660,000","201,960,000","1,020,000"
135,"15,046,620,000","202,980,000","1,020,000"
136,"15,249,600,000","204,000,000","1,020,000"
137,"15,453,600,000","205,020,000","1,020,000"
138,"15,658,620,000","206,040,000","1,020,000"
139,"15,864,660,000","207,060,000","1,020,000"
140,"16,071,720,000","208,080,000","1,020,000"
141,"16,279,800,000","209,100,000","1,020,000"
142,"16,488,900,000","210,120,000","1,020,000"
143,"16,699,020,000","211,140,000","1,020,000"
144,"16,910,160,000","212,160,000","1,020,000"
145,"17,122,320,000","213,180,000","1,020,000"
146,"17,335,500,000","214,200,000","1,020,000"
147,"17,549,700,000","215,220,000","1,020,000"
148,"17,764,920,000","216,240,000","1,020,000"
149,"17,981,160,000","218,280,000","2,040,000"
150,"18,199,440,000","220,320,000","2,040,000"
151,"18,419,760,000","222,360,000","2,040,000"
152,"18,642,120,000","224,400,000","2,040,000"
153,"18,866,520,000","226,440,000","2,040,000"
154,"19,092,960,000","228,480,000","2,040,000"
155,"19,321,440,000","230,520,000","2,040,000"
156,"19,551,960,000","232,560,000","2,040,000"
157,"19,784,520,000","234,600,000","2,040,000"
158,"20,019,120,000","236,640,000","2,040,000"
159,"20,255,760,000","238,680,000","2,040,000"
160,"20,494,440,000","240,720,000","2,040,000"
161,"20,735,160,000","242,760,000","2,040,000"
162,"20,977,920,000","244,800,000","2,040,000"
163,"21,222,720,000","246,840,000","2,040,000"
164,"21,469,560,000","248,880,000","2,040,000"
165,"21,718,440,000","250,920,000","2,040,000"
166,"21,969,360,000","252,960,000","2,040,000"
